,time,bl_r,bl_l,bl_a,ga_r,ga_l,ga_a
0,2019-05-18 19:04:54.987610,2.1552193424802923,2.0063351441521178,2.080777243316205,0.9426751592356688,0.9940119760479041,0.9683435676417864
1,2019-05-18 19:04:55.119163,2.1597930184054537,2.1693045781865616,2.164548798296008,0.9025974025974026,0.9935064935064936,0.948051948051948
2,2019-05-18 19:04:55.181656,2.1597930184054537,2.1693045781865616,2.164548798296008,0.9025974025974026,0.9935064935064936,0.948051948051948
3,2019-05-18 19:04:55.250677,2.2294816068526147,2.245256437600889,2.237369022226752,0.8571428571428571,0.9261363636363636,0.8916396103896104
4,2019-05-18 19:04:55.366578,2.152973320235775,2.2360679774997894,2.1945206488677824,0.9,0.893491124260355,0.8967455621301775
5,2019-05-18 19:04:55.435593,2.152973320235775,2.2360679774997894,2.1945206488677824,0.9,0.893491124260355,0.8967455621301775
6,2019-05-18 19:04:55.504601,2.076478920163254,2.1693045781865616,2.122891749174908,0.8525641025641025,0.9935483870967742,0.9230562448304384
7,2019-05-18 19:04:55.567108,2.076478920163254,2.1693045781865616,2.122891749174908,0.8525641025641025,0.9935483870967742,0.9230562448304384
8,2019-05-18 19:04:55.636123,2.2360679774997894,2.245256437600889,2.240662207550339,0.8433734939759037,0.9506172839506173,0.8969953889632605
9,2019-05-18 19:04:55.698621,2.2360679774997894,2.245256437600889,2.240662207550339,0.8433734939759037,0.9506172839506173,0.8969953889632605
10,2019-05-18 19:04:55.767654,2.152973320235775,2.1693045781865616,2.1611389492111686,0.9,1.0,0.95
11,2019-05-18 19:04:55.836667,2.152973320235775,2.1693045781865616,2.1611389492111686,0.9,1.0,0.95
12,2019-05-18 19:04:55.905674,2.1342242840895818,2.245256437600889,2.1897403608452355,0.9171974522292994,0.8988095238095238,0.9080034880194117
13,2019-05-18 19:04:55.968180,2.1342242840895818,2.245256437600889,2.1897403608452355,0.9171974522292994,0.8988095238095238,0.9080034880194117
14,2019-05-18 19:04:56.037196,2.2294816068526147,2.245256437600889,2.237369022226752,0.8439306358381503,0.9506172839506173,0.8972739598943837
15,2019-05-18 19:04:56.099695,2.2294816068526147,2.245256437600889,2.237369022226752,0.8439306358381503,0.9506172839506173,0.8972739598943837
16,2019-05-18 19:04:56.184340,2.2360679774997894,2.1563270143680437,2.1961974959339168,0.8579881656804734,1.0,0.9289940828402368
17,2019-05-18 19:04:56.237731,2.2360679774997894,2.1563270143680437,2.1961974959339168,0.8579881656804734,1.0,0.9289940828402368
18,2019-05-18 19:04:56.306741,2.07107221060079,1.947314920147763,2.0091935653742765,0.8539325842696629,0.9162303664921466,0.8850814753809048
19,2019-05-18 19:04:56.369247,2.07107221060079,1.947314920147763,2.0091935653742765,0.8539325842696629,0.9162303664921466,0.8850814753809048
20,2019-05-18 19:04:56.438264,1.9849433241279206,2.085726206170551,2.0353347651492357,0.9457831325301205,0.9171270718232044,0.9314551021766624
21,2019-05-18 19:04:56.500762,1.9849433241279206,2.085726206170551,2.0353347651492357,0.9457831325301205,0.9171270718232044,0.9314551021766624
22,2019-05-18 19:04:56.569791,2.0615528128088303,2.257015207538226,2.1592840101735282,0.8128342245989305,0.9459459459459459,0.8793900852724382
23,2019-05-18 19:04:56.638811,2.0615528128088303,2.257015207538226,2.1592840101735282,0.8128342245989305,0.9459459459459459,0.8793900852724382
24,2019-05-18 19:04:56.707821,2.152973320235775,2.0203050891044216,2.0866392046700986,0.94375,1.0059880239520957,0.9748690119760479
25,2019-05-18 19:04:56.754702,2.152973320235775,2.0203050891044216,2.0866392046700986,0.94375,1.0059880239520957,0.9748690119760479
26,2019-05-18 19:04:56.854969,2.888888888888889,2.908056072956089,2.898472480922489,0.9056603773584906,0.9705882352941176,0.9381243063263041
27,2019-05-18 19:04:56.908349,2.888888888888889,2.908056072956089,2.898472480922489,0.9056603773584906,0.9705882352941176,0.9381243063263041
28,2019-05-18 19:04:56.986484,2.243765308275509,2.3385819458042043,2.2911736270398566,0.8275862068965517,1.0285714285714285,0.92807881773399
29,2019-05-18 19:04:57.102408,2.2294816068526147,2.1693045781865616,2.199393092519588,0.8674698795180723,1.0,0.9337349397590362
30,2019-05-18 19:04:57.171432,2.2294816068526147,2.1693045781865616,2.199393092519588,0.8674698795180723,1.0,0.9337349397590362
31,2019-05-18 19:04:57.240449,2.2294816068526147,2.4311200767519088,2.330300841802262,0.8470588235294118,0.9473684210526315,0.8972136222910216
32,2019-05-18 19:04:57.309459,2.2294816068526147,2.4311200767519088,2.330300841802262,0.8470588235294118,0.9473684210526315,0.8972136222910216
33,2019-05-18 19:04:57.371968,2.2294816068526147,2.245256437600889,2.237369022226752,0.8588235294117647,0.927710843373494,0.8932671863926294
34,2019-05-18 19:04:57.440984,2.2294816068526147,2.245256437600889,2.237369022226752,0.8588235294117647,0.927710843373494,0.8932671863926294
35,2019-05-18 19:04:57.503482,2.0063351441521178,2.015170887439514,2.0107530157958156,0.8888888888888888,0.9776536312849162,0.9332712600869025
36,2019-05-18 19:04:57.556877,2.0063351441521178,2.015170887439514,2.0107530157958156,0.8888888888888888,0.9776536312849162,0.9332712600869025
37,2019-05-18 19:04:57.641523,2.152973320235775,2.0,2.0764866601178875,0.9176470588235294,1.0180722891566265,0.967859673990078
38,2019-05-18 19:04:57.710532,2.152973320235775,2.0,2.0764866601178875,0.9176470588235294,1.0180722891566265,0.967859673990078
39,2019-05-18 19:04:57.773038,2.2360679774997894,2.245256437600889,2.240662207550339,0.813953488372093,0.9166666666666666,0.8653100775193798
